Producto,País,Ciudad,Cantidad_total_sacos,Devolución,Moneda,Pedido_ID,Fecha_Pedido,Cliente,Línea_Producto,Venta_Total,Canal_Venta,Costo_Envío,Ruta,Transportista,Devoluciones,Satisfacción_Cliente,Distribuidora,Contacto_Comercial,Tipo_Cliente,Incoterm,Medio_Transporte,Nro_Contenedor,Puerto_Salida
Harina galletera especial (50 kg),Perú,Trujillo,340,No,PEN,10107,2024-02-24,Panadería El Trigal,Galletera,2871.0,Tienda física,81.24,Ruta Norte,DHL,3,3,Harinas Express,María Torres,Nacional,,Terrestre,,
Harina galletera especial (50 kg),Venezuela,Caracas,353,No,USD,10121,2024-05-07,Panadería El Ávila,Galletera,2765.9,Online,71.19,Ruta Norte,DHL,0,3,Distribuidora Andina Sur,Lucía Ramírez,Exportación,CIF,Marítimo,CONT-682767,Callao
Harina galletera especial (50 kg),Perú,Lima,358,No,PEN,10134,2024-07-01,Panificadora InkaPan,Galletera,3884.34,Tienda física,251.2,Ruta Centro,FedEx,2,4,Distribuciones Santa Clara,Carmen Vásquez,Nacional,,Terrestre,,
Harina galletera especial (50 kg),Chile,Santiago,390,No,USD,10145,2024-08-25,Pastelería Don Pedro,Galletera,3746.7,Tienda física,100.0,Ruta Norte,FedEx,2,5,Logística Norte SAC,Ana Rojas,Exportación,CIF,Aéreo,CONT-846058,Matarani
Harina galletera especial (50 kg),Colombia,Bogotá,339,No,USD,10159,2024-10-10,Distribuidora Caribe,Galletera,5205.27,Online,279.59,Ruta Sur,UPS,0,4,Distribuciones Santa Clara,Rosa Fernández,Exportación,CIF,Aéreo,CONT-264351,Callao
Harina galletera especial (50 kg),Perú,Piura,334,No,PEN,10168,2024-10-28,Panificadora InkaPan,Galletera,3479.76,Online,291.58,Ruta Centro,DHL,1,4,Distribuciones Santa Clara,Ana Rojas,Nacional,,Terrestre,,
Harina galletera especial (50 kg),Perú,Arequipa,296,Sí,PEN,10180,2024-11-11,Supermercado Túpac Amaru,Galletera,2497.77,Tienda física,179.95,Ruta Centro,FedEx,2,5,Distribuidora Andina Sur,Andrés Quispe,Nacional,,Terrestre,,
Harina galletera especial (50 kg),Perú,Chiclayo,343,No,PEN,10188,2024-11-18,Supermercado El Sol,Galletera,5512.32,Distribuidor,60.04,Ruta Sur,UPS,1,2,TransHarinas SAC,María Torres,Nacional,,Terrestre,,
Harina galletera especial (50 kg),Perú,Arequipa,223,No,PEN,10201,2024-12-01,Panificadora Andina,Galletera,2168.54,Tienda física,124.87,Ruta Sur,UPS,3,5,Logística Integral Perú,Andrés Quispe,Nacional,,Terrestre,,
Harina galletera especial (50 kg),Perú,Chiclayo,351,No,PEN,10211,2024-01-15,Panadería San José,Galletera,4708.44,Tienda física,243.37,Ruta Norte,FedEx,4,4,Distribuciones Santa Clara,Diego Chávez,Nacional,,Terrestre,,
Harina galletera especial (50 kg),El Salvador,San Salvador,288,Sí,USD,10223,2024-02-20,Mercado Centro,Galletera,3965.66,Tienda física,122.87,Ruta Sur,DHL,0,1,TransHarinas SAC,Carlos Huamán,Exportación,DAP,Marítimo,CONT-130190,Paita
Harina galletera especial (50 kg),El Salvador,San Salvador,312,No,USD,10237,2024-04-05,Mercado Centro,Galletera,2333.12,Tienda física,44.36,Ruta Centro,UPS,2,5,Logística Norte SAC,Carlos Huamán,Exportación,CIF,Marítimo,CONT-385720,Callao
Harina galletera especial (50 kg),Perú,Trujillo,263,No,PEN,10251,2024-05-18,Supermercado Mi Perú,Galletera,3188.64,Online,175.9,Ruta Norte,DHL,0,2,Distribuidora Andina Sur,Pedro Castillo,Nacional,,Terrestre,,
Harina galletera especial (50 kg),Perú,Cusco,222,No,PEN,10263,2024-06-28,Supermercado El Sol,Galletera,3676.76,Tienda física,256.63,Ruta Sur,DHL,3,5,Logística Norte SAC,Diego Chávez,Nacional,,Terrestre,,
Harina galletera especial (50 kg),Perú,Chiclayo,394,No,PEN,10275,2024-07-23,Pastelería La Estrella,Galletera,4177.35,Distribuidor,242.86,Ruta Norte,UPS,3,5,Distribuciones Santa Clara,Luis Gutiérrez,Nacional,,Terrestre,,
Harina galletera especial (50 kg),Chile,Valparaíso,299,No,USD,10285,2024-08-27,Pastelería Don Pedro,Galletera,4099.68,Online,69.03,Ruta Norte,FedEx,3,3,Logística Norte SAC,Carlos Huamán,Exportación,DAP,Aéreo,CONT-889057,Paita
Harina galletera especial (50 kg),Perú,Lima,340,No,PEN,10299,2024-09-30,Panadería San José,Galletera,2597.39,Distribuidor,208.37,Ruta Norte,DHL,3,3,Distribuciones Santa Clara,Juan Pérez,Nacional,,Terrestre,,
Harina galletera especial (50 kg),Perú,Lima,222,No,PEN,10309,2024-10-15,Bodega San Martín,Galletera,4394.38,Distribuidor,81.74,Ruta Norte,FedEx,4,4,Logística Integral Perú,Lucía Ramírez,Nacional,,Terrestre,,
Harina galletera especial (50 kg),Guatemala,Ciudad de Guatemala,256,No,USD,10318,2024-11-02,Panadería Chapina,Galletera,4358.04,Distribuidor,81.1,Ruta Sur,UPS,1,4,Harinas Express,Carlos Huamán,Exportación,DAP,Marítimo,CONT-442661,Paita
Harina galletera especial (50 kg),Perú,Trujillo,278,No,PEN,10329,2024-11-15,Bodega San Martín,Galletera,4396.14,Distribuidor,264.74,Ruta Centro,DHL,1,5,Logística Norte SAC,Luis Gutiérrez,Nacional,,Terrestre,,
Harina galletera especial (50 kg),Guatemala,Quetzaltenango,349,No,USD,10341,2024-11-24,Panadería Chapina,Galletera,7737.93,Online,89.91,Ruta Centro,FedEx,4,1,Distribuidora Andina Sur,Ana Rojas,Exportación,FOB,Aéreo,CONT-021127,Matarani
Harina galletera especial (50 kg),Guatemala,Quetzaltenango,400,No,USD,10361,2024-12-17,Supermercado Quetzal,Galletera,1451.0,Online,93.71,Ruta Sur,FedEx,1,4,Logística Integral Perú,María Torres,Exportación,FOB,Marítimo,CONT-256203,Paita
Harina galletera especial (50 kg),Perú,Lima,214,No,PEN,10375,2024-02-03,Pastelería Dulce Hogar,Galletera,733.11,Distribuidor,20.18,Ruta Centro,DHL,3,5,Logística Integral Perú,Miguel Sánchez,Nacional,,Terrestre,,
Harina galletera especial (50 kg),Perú,Arequipa,251,No,PEN,10388,2024-03-03,Bodega Santa Rosa,Galletera,3207.12,Distribuidor,263.79,Ruta Norte,FedEx,1,5,Distribuciones Santa Clara,Diego Chávez,Nacional,,Terrestre,,
